Last login: Thu Feb 20 14:12:20 on ttys000
maclab-103:~ hanse109$ ps
  PID TTY           TIME CMD
21897 ttys001    0:00.01 -bash
maclab-103:~ hanse109$ ps x
  PID   TT  STAT      TIME COMMAND
21094   ??  Ss     0:00.13 /System/Library/Frameworks/Metal.framework/Versions/
21108   ??  Ss     0:00.14 /System/Library/CoreServices/Siri.app/Contents/XPCSe
21113   ??  S      0:00.06 /System/Library/PrivateFrameworks/PhotoAnalysis.fram
21114   ??  S      0:00.08 /System/Library/PrivateFrameworks/IMDPersistence.fra
21115   ??  S      0:00.06 /System/Library/PrivateFrameworks/UsageTracking.fram
21119   ??  S      0:00.13 /usr/libexec/silhouette
21120   ??  S      0:00.47 /System/Library/PrivateFrameworks/AppStoreDaemon.fra
21134   ??  S      0:00.03 /System/Library/PrivateFrameworks/CoreFollowUp.frame
21197   ??  S      0:00.02 /System/Library/PrivateFrameworks/PrintingPrivate.fr
21227   ??  S      0:00.22 /System/Library/Frameworks/ApplicationServices.frame
21265   ??  Ss     0:00.17 /System/Library/PrivateFrameworks/CommerceKit.framew
21266   ??  Ss     0:00.06 /System/Library/Frameworks/Metal.framework/Versions/
21373   ??  Ss     0:00.05 /System/Library/Frameworks/Metal.framework/Versions/
21404   ??  S      0:00.46 /Applications/TextEdit.app/Contents/MacOS/TextEdit
21405   ??  S      0:00.01 /System/Library/Frameworks/CoreServices.framework/Fr
21406   ??  Ss     0:00.09 /System/Library/Frameworks/Metal.framework/Versions/
21678   ??  S      0:00.05 /System/Library/Frameworks/CoreServices.framework/Fr
21784   ??  S      0:00.05 /System/Library/Frameworks/CoreServices.framework/Fr
21896 s001  Ss     0:00.02 login -pf hanse109
21897 s001  S      0:00.01 -bash
21915 s001  R+     0:00.00 ps x
maclab-103:~ hanse109$ ps aux
USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
_windowserver     2735   1.3  1.3  9217076 223724   ??  Ss   12Feb20  23:18.71 /System/Library/
hanse109         20928   0.7  0.8  4887828 138380   ??  S     2:00PM   0:18.54 /Applications/Ut
hanse109         20750   0.6  0.8  5025664 127940   ??  S     2:00PM   0:02.17 /Applications/Ut
hanse109         20910   0.4  0.4  4685072  61564   ??  S     2:00PM   0:13.15 /Applications/Ut
hanse109         20890   0.1  0.2  4365892  31988   ??  S     2:00PM   0:00.30 /System/Library/
_hidd              124   0.1  0.0  4330540   7860   ??  Ss   12Feb20   3:25.35 /usr/libexec/hid
hanse109         21784   0.0  0.1  4339988  13824   ??  S     2:37PM   0:00.05 /System/Library/
delun002         21783   0.0  0.1  4342152  13708   ??  S     2:37PM   0:00.05 /System/Library/
hanse109         21678   0.0  0.1  4339988  14720   ??  S     2:36PM   0:00.05 /System/Library/
hanse109         21406   0.0  0.1  4845212  17172   ??  Ss    2:27PM   0:00.09 /System/Library/
hanse109         21405   0.0  0.0  4327764   6728   ??  S     2:27PM   0:00.01 /System/Library/
hanse109         21404   0.0  0.3  4958748  43924   ??  S     2:27PM   0:00.46 /Applications/Te
hanse109         21373   0.0  0.1  4827768  15340   ??  Ss    2:25PM   0:00.05 /System/Library/
